97791,97790,"Isn't It a Pity","Sarah Vaughan with Hal Mooney & His Orchestra",6mDasQxuAwE
97792,97790,"Isn't It a Pity?","Ella Fitzgerald - Orchestra conducted by Nelson Riddle",oSeOkLWgT1I
97793,97790,"Isn't It a Pity","Mel Tormé arranged and conducted by Robert Mersey",e3atjhxeQbU
105051,97790,"Isn't It a Pity","Laverne Butler",a5IeImPiVtc
134457,97790,"Isn't It a Pity","Zoot Sims",LQAFp_6voFM
169579,97790,"Isn't It a Pity?","Stacey Kent",unABMyG4ivk
180078,97790,"Isn't It a Pity","Térez Montcalm",D3UOXsfCzOQ
204767,97790,"Isn't It a Pity?","Howard Alden",AIFYlqnYxoc
235822,97790,"Isn't It a Pity?","Barbra Streisand",Y9QFvjsrk90
274805,97790,"Isn't It a Pity?","Connye Florance",2FWvjL9FU2Y
281903,97790,"Isn't It a Pity","Johnny Mathis arranged and conducted by Glenn Osser",BHvrXZPYFY4
293601,97790,"Isn't It a Pity?","Fran Jeffries",ZrHAa7TjORE
322279,97790,"Isn't It a Pity","Cheryl Bentyne",RCPpMfb9vL8
329771,97790,"Isn't It a Pity?","Jody Sandhaus",e6Bgmo3TpRY
333532,97790,"Isn't It a Pity","Laila Dalseth",2d_cLKoE6Lc
342966,97790,"Isn't It a Pity","Michael Feinstein",P2kV9dDLwXY
347976,97790,"Isn't It a Pity","Alexis Gershwin with the Gershwin Singers and Orchestra",HEg9-O4JfMI
381143,97790,"Isn't It a Pity","Beverly Kenney",P3ei83Odk64
385022,97790,"Isn't It a Pity","Mel Tormé and Friends",ppMPfoa9RlQ
405459,97790,"Isn't It a Pity","The Fred Hughes Trio",lqQPsYavaOw
412431,97790,"Isn't It a Pity?","Shirley Horn with Strings",jNj_o_7KBKQ
422969,97790,"Isn't It a Pity?","Susan Winter",2qtK24k3kB4
485451,97790,"Isn't It a Pity","Andy Brown [US]",HeU614DqK0s
494366,97790,"Isn't It a Pity?","Spider Saloff",tfjIhnJZHhk
520305,97790,"Isn't It a Pity?","John Pizzarelli Trio",r7Yjfq5LTWI
529167,97790,"Isn't It a Pity","Marjorie Barnes",1MCLAufDccM
567069,97790,"Isn't It a Pity?","Teddi King & Dave McKenna",lnpNvJP_AQo
576858,97790,"Isn't It a Pity?","Joan Morris - William Bolcom",q66U0RIGhAU
577489,97790,"Isn't It a Pity?","Carole Farley - John Constable",yv1x0sF6uz8
588349,97790,"Isn't It a Pity","Richard Lanham",m-D7Jk9txSs
604836,97790,"Isn't It a Pity","Carme Canela & Trio",ZDXI5dgLhZ4
677946,97790,"Isn't It a Pity","Pat Healy",W8jchSorbM4
685323,97790,"Isn't It a Pity?","Bobby Short",kBI484tE8z0
699753,97790,"Isn't It a Pity","Pam Bricker & Rick Harris",RIBHQqPmpP8
724568,97790,"Isn't It a Pity?","Norm Kubrin",IdidOQGj4O8
735525,97790,"Isn't It a Pity?","Sandra Day Rossi",54avGn7lkzs
776585,97790,"Isn't It a Pity","Gary Williams",0L0u4wI7Pz8
785292,97790,"Isn't It a Pity","Karin Mast",82e6yGUvse4
792603,97790,"Isn't It a Pity?","Helen Merrill",jeHQeqwRXFA
807507,97790,"Isn't It a Pity","Jan Eisen",cAeUtEjEcRg
817915,97790,"Isn't It a Pity?","Elaine Delmar",fmN8PI4BLOw
857731,97790,"Isn't It a Pity?","Steve Lawrence with Orchestra directed by Nick Perito",bIe8ER6OGV4
873674,97790,"Isn't It a Pity","Mabel Mercer",LesrdlFDOhU
889300,97790,"Isn't It a Pity","Kim Min Hee",YFYMsZU3u2U
909709,97790,"Isn't It a Pity","Jayne Manning",S1L28SxzAF8
941192,97790,"Isn't It a Pity","Barry Manilow",cvznwAzjp2A
979169,97790,"Isn't It a Pity?","William Roy",kQpMFOIzhn4
1074722,97790,"Isn't It a Pity","Maria Postell  with Dave McKenna & Don Thompson",ASUyX0LX1D0
1087125,97790,"Isn't It a Pity","Bill Allred & Roy Williams",7B4GSyNT--s
1143311,97790,"Isn't It a Pity","Johnny Janis",ijrpVVD6-98
1272383,97790,"Isn't It a Pity?","Jerry Lewis with Orchestra conducted by Jack Pleis",KDyQeDTsQeE
1316656,97790,"Isn't It a Pity","Mel Tormé / Cleo Laine",_hAJE3wpS2Y
1360370,97790,"Isn't It a Pity","Mitzi Gaynor",jvQKC3cArxk
1376987,97790,"Isn't It a Pity?","Elijah Rock",anE3dwd18y0
1505563,97790,"Isn't It a Pity?","Mary Carewe – The Swonderful Orchestra, Philip Mayers",nFvJ18fwpZU
1538829,97790,"Isn't It a Pity","Carol Sloane",vURGYIRSHNE
1560389,97790,"Isn't It a Pity","Annie Ross",BBsvqXo79ns
1574556,97790,"Isn't It a Pity?","Lisa Maxwell",WxbTBip7Tq8
1608909,97790,"Isn't It a Pity","Victoria Hart with Pavao featuring Russell Watson",sbB0EFAYZBM
1719833,97790,"Isn't It a Pity","Jane Scheckter with Nicolas King",N-ZawZN6Pqk
1762122,97790,"Isn't It a Pity","Tierney Sutton feat. Serge Merlaud & Kevin Axt",fqx2kN5sVTY
17026,17026,"Marie Marie","The Blasters",FIF0_EaXRJg
17027,17026,"Marie, Marie",MxPx,QJq0R5JKVEA
17031,17026,"Marie Marie","Buckwheat Zydeco",jvTcMRsW3sQ
33848,17026,"Marie Marie","Los Lobos [US]",mexf0M8ySiE
66039,17026,"Marie Marie","Lars Frederiksen and The Bastards",JWs_TKLpnkA
91951,17026,"Marie, Marie","Shakin' Stevens",qnLSZi-xAeY
101737,17026,"Marie Marie","The Top Cats [GB]",oLdvICjYuM8
134913,17026,"Marie Marie","The Juke Joints",jzEEKuA8cwk
192975,17026,"Marie Marie",Matchbox,fsSEa0AygUY
376688,17026,"Marie Marie","Micke Muster",F7eXti8P6pk
476642,17026,"Marie Marie","Rockin' the Joint",alNbxFAY3kE
514915,17026,"Marie Marie","Dave Alvin and The Guilty Women",MYzUnJwKo7g
529493,17026,"Marie Marie","Darrel Higham",zZBWmB9TSAU
569139,17026,"Mari Mari",Norrsken,P_1QSImli7I
598178,17026,"Marie Marie","Hank C. Burnette",AZrXuuRIhcE
783484,17026,"Marie Marie","David & Kukerpillid",STkP3naym38
939376,17026,"Marie, Marie","The Seacruisers",gMLi83AzYVg
1002360,17026,"Marie, Marie","The Kentucky Boys",L0TeVZNAJPo
1530905,17026,"Marie Marie","Vernon Trumbull & His Kinsmen",5lKm9bLNfoc
97297,17026,"Forbi min pi'e","Rock Nalle",T1iNf7MJjlQ
614635,17026,"Marie Marie","Ari Klem",ahreEzInpZI
1167712,17026,"Marie, Marie",Sven-Ingvars,dr5D7MF04mQ
1237043,17026,"Marie, Marie",Rockfile,vM6tHh5lYco
1188017,17026,"Marie Marie",Wahlströms,2TImPg21omc
1228288,17026,"Marie Marie","Mogna män",pCcGizKzo5I
1624093,17026,"Marie Marie",Streaplers,E0lbZDef59o
1227034,17026,"Marie Marie","Ansambel ""Rock Hotel""",6xo4Dm_pstY
1418246,17026,"Marie,  Marie (Bleib nicht zu Hause)",Hank,tZB0tCRv06I
125170,113622,"Crawdad Song","Al & The Black Cats",51uVUTtXfrY
168966,113622,"Crawdad Song","Ramblin' Jack Elliott",Vp85diz3z4w
169656,113622,"The Crawdad Song","Andy Griffith",DpyEMEqdLME
187521,113622,"The Crawdad Song","Dick Curless",WypUm4LWLC4
362102,113622,"The Crawdad Song","Jerry Lee Lewis",2XXotDNVjeY
