35581,35581,"Wolverton Mountain","Claude King",vLoQS0GnhWk
35582,35581,"Wolverton Mountain","Nat King Cole with Orch. & Chorus cond. by Belford Hendricks",q7eq2HzAMWk
69541,35581,"Wolverton Mountain","Southern Culture on the Skids",1FodDOjS7bM
85806,35581,"Wolverton Mountain","Jerry Lee Lewis",J14diKrYW2A
104686,35581,"Wolverton Mountain","The Brothers Four",qG9NhBaNiJ0
229253,35581,"Wolverton Mountain","Sandy Nelson",45mnFwSDuVM
229380,35581,"Wolverton Mountain","Sir Doug & The Texas Tornados",CeJcORCzmB0
250922,35581,"Wolverton Mountain","Frank Ifield - Norrie Paramor & His Orchestra",xsBrmWRqvI0
306326,35581,"Wolverton Mountain","Rusty York",1rmmzRTzF-U
327627,35581,"Wolverton Mountain","Pat Boone",kkfgwgapY_8
332509,35581,"Wolverton Mountain","Crazy Cavan 'n' The Rhythm Rockers",sKKy4WNUB08
365113,35581,"Wolverton Mountain","Bing Crosby",_T792v5zz7o
385243,35581,"Wolverton Mountain","Clinton Ford - Accompaniment directed by Alan Tew",KyAa_Uez5Yc
434141,35581,"Wolverton Mountain","Louis 'Country & Western' Armstrong",L4oUnCpPhzk
437603,35581,"Wolverton Mountain","Danny Davis and The Nashville Brass",ksgbyzrWB1U
463527,35581,"Wolverton Mountain","Roy Drusky",kKNrjEUJMNU
502367,35581,"Wolverton Mountain","Richie Stephens",Zcx0lkFLPD8
520214,35581,"Wolverton Mountain","Hank Williams, Jr. with The Mike Curb Congregation",O8px3T90-2Y
520223,35581,"Wolverton Mountain","Connie Francis and Hank Williams, Jr.",DUcPmLqxo-I
618894,35581,"Wolverton Mountain","Cowboy Copas",DTPbOBDTRvo
627099,35581,"Wolverton Mountain","Kevin Shegog",dql0gvj4Zx0
669538,35581,"Wolverton Mountain","Merle Kilgore",HmdQ9RXMN7I
1137222,35581,"Wolverton Mountain","The Dirt Band",eaq4mRLv8W8
1216349,35581,"Wolverton Mountain","Webb Pierce",PdHoWzDoANM
1328005,35581,"Wolverton Mountain","The City Slickers [AU]",XKLyG7KPffY
1357509,35581,"Wolverton Mountain","The Marlettes",EkFflx8JmGQ
1436402,35581,"Wolverton Mountain","Great Plains [US2]",ustCzIEeE6A
1711712,35581,"Wolverton Mountain","Sonny Day & The Sundowners",dp6pHnMhGhc
429539,35581,"Skattlösa bergen","Olle Adolphson",RMO2XoIw-B4
429540,35581,"Skattlösa bergen","Lasse Stefanz",SDjhDhw-QO4
943447,35581,"Skattlösa bergen","Per Myrberg",05asiZxg1Vs
